,MAC Address,Channel,DS Channel,Vendor Specific Tags,Length,Label,Supported Rates 1,Supported Rates 2,Supported Rates 3,Supported Rates 4,Extended Supported Rates 1,Extended Supported Rates 2,Extended Supported Rates 3,Extended Supported Rates 4,Forty_Mhz_Intolerant,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,RX_Highest_Supported_Data_Rate,RX_MSC_Bitmask,RD_Responder,HTC_HT_Support,MCS_Feedback,Compressed_Steering_n_Beamformer_Antennas_Supported,20_40_BSS_Coexistence_Management_Support,Extended_Channel_Switching,FMS,TFS,WNM_Sleep_Mode,TIM_Broadcast,BSS_Transition,Multiple_BSSID,Timing_Measurement,SSID_List,DMS,Interworking,QoS_Map,WNM_Notification,Operating_Mode_Notification
51,02:9e:d0:33:e6:fd,11,11.0,62,131,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
52,02:a1:c2:e8:ae:2c,11,2.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
53,02:a3:cc:9e:fb:d9,11,6.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
54,02:a8:21:b2:4e:26,11,1.0,26,84,GooglePixel3A_L,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,02:a8:86:01:9e:fa,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
56,02:ab:6d:5e:38:03,1,3.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
57,02:b1:87:4c:e5:17,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
58,02:b8:33:24:4b:a7,1,3.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
59,02:b8:94:8c:4a:a9,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
60,02:b8:a1:e1:fe:3a,11,2.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
