,MAC Address,FSCT-1,FSCT-2,FSCT-3,FSCT-4,FSCT-5,FSCT-6,FSCT-7,FSCT-8,FSCT-9,FSCT-10,FSCT-11,FSCT-12,FSCT-13,Label
98,06:5f:a7:66:92:cb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
99,06:68:15:85:ee:f6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
100,06:69:f5:42:76:16,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
101,06:6b:97:1c:b5:a5,0.0,0.065629005,0.102119923,0.150115967,0.199113131,0.215390921,0.279485941,0.320964098,1.0,1.0,0.431169033,1.0,1.0,XiaomiRedmiNote9S_T
102,06:70:b0:80:b1:98,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
103,06:78:ae:07:23:28,0.0,0.06468606,0.149024964,1.0,1.0,0.386740923,0.464177132,0.562992096,0.578000069,0.654528141,0.728054047,0.793115139,0.907540083,XiaomiA2_E
104,06:83:bc:52:cd:ce,0.0,0.044760942,0.08957982,0.134795904,0.179744005,0.224742889,0.269693851,0.314826965,0.359863996,0.404722929,0.449873924,0.494693994,0.539633035,iPhoneXR_L
105,06:88:af:ff:aa:c3,0.0,1.0,1.0,1.0,1.0,0.015475035,1.0,1.0,1.0,1.0,0.057595968,1.0,0.098957062,iPhone6_N
106,06:98:83:cb:1a:d8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_M
107,06:98:ef:f5:76:95,0.0,0.069311142,0.137511969,1.0,0.278530121,0.393224955,0.448126078,1.0,0.575014115,0.648725987,0.71190095,0.780992985,0.849432946,XiaomiA2_E
